user,created_at,location,coordinates,tweet_text
,,,,
MoniseLSeward,2016-06-02 0:34,"Atlanta, GA",,RT @attn: Girl with Zika virus is born at a New Jersey hospital https://t.co/nj2FdJiZWW
,,,,
ClaraIDK,2016-06-02 0:34,Madrid [Espa\xc3\xb1a],,"Univisi\xc3\xb3n Las infecciones con el Zika a trav\xc3\xa9s de las relaciones sexuales son m\xc3\xa1s comunes de lo que se pensaba,\xe2\x80\xa6 https://t.co/54A66r8nXP"
,,,,
SoStrategyFL,2016-06-02 0:34,Florida,,"Herald: As new #Zika cases reported in Florida, @FLGovScott presses feds for help https://t.co/EQgTan6C3d #TmrwTnite"
,,,,
cabennetttt,2016-06-02 0:34,YYZ \xe2\x9c\x88\xef\xb8\x8f BDL,,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
Ahmed_SEng,2016-06-02 0:34,Canada,,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
PMorris153,2016-06-02 0:34,New York & New Jersey & D.C. ,,RT @NYDailyNews: Woman with Zika virus gives birth to baby with severe birth defects in New Jersey hospital https://t.co/S0z5FBHTqv https:/\xe2\x80\xa6
,,,,
1389,2016-06-02 0:34,"In an RV, USA",,The Gates Foundation is trying to stop Zika by giving mosquitos a sexually transmitted disease https://t.co/sXXCeolNeX via @Recode
,,,,
SafetyExpert_,2016-06-02 0:34,USA,,RT @LizSzabo: Feds say Medicaid can pay for mosquito repellent to prevent Zika https://t.co/vS6P54KBn6 via @usatoday https://t.co/S7MKLaxkAT
,,,,
ntoverheard,2016-06-02 0:34,385 winnekta ave,,"""if i get zika in the UK give me a high five"""
,,,,
guymetropolis,2016-06-02 0:34,,,#Iowa. Teen tests positive for Zika after first blood sample tossed. https://t.co/7IxA3AdsLX
,,,,
juninho_ooi,2016-06-02 0:34,"Votorantim, Brasil",,@brencunha nois nasceu zika
,,,,
ItsmeKamilia_RS,2016-06-02 0:34,Jakarta - Indonesia,,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
abubakar3732,2016-06-02 0:34,,,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
GlobalBioethics,2016-06-02 0:34,"New York, New York",,Andy Murray: Olympic champion to seek Zika virus advice https://t.co/126mWEeS4Y
,,,,
WordswithMaria,2016-06-02 0:34,"Los Angeles, CA",,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
azcourier,2016-06-02 0:34,Arizona,,Republicans Strip Local Health Departments By Failing to Address Zika  https://t.co/ywBkHd9w9K
,,,,
MEsufally,2016-06-02 0:34,colombo,,RT @TIME: Local case of severe mosquito-borne disease found in Texas https://t.co/eCHOOnE980
,,,,
mcuzun,2016-06-02 0:33,,,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
formarrowdbs,2016-06-02 0:33,"Florida, USA",,CDC Reports 279 Pregnant Women With Zika in U.S. https://t.co/AJXbCdt7Mx via @nbcnews
,,,,
nabatatos,2016-06-02 0:33,"Rio de Janeiro, Brasil",,"Fui no hospital, t\xc3\xb4 com suspeita de zika"
,,,,
Suzyy_op,2016-06-02 0:33,Ouro Preto - MG,,RT @_thiaguinhook: Essa \xc3\xa9 a escala\xc3\xa7\xc3\xa3o ideal na minha opini\xc3\xa3o hoje... A zika vai embora!!!!!!! VAAAAAMOS CRUZEIRO
,,,,
carcanfield24,2016-06-02 0:33,ZCHS'18,,RT @si_olympics: Tigers reliever Francisco Rodriguez says he contracted the Zika virus over the off-season https://t.co/nSA4po22QD https://\xe2\x80\xa6
,,,,
nghiemkhmt2k7,2016-06-02 0:33,United States,,T\xc3\xb4i \xc4\x91\xc3\xa3 th\xc3\xaam video v\xc3\xa0o danh s\xc3\xa1ch ph\xc3\xa1t https://t.co/j06Bay3V3v Baby Born with Microcephaly in US to Woman Who Contracted Zika
,,,,
NewJerseyBlogg,2016-06-02 0:33,New Jersey,,Baby Born In New Jersey With Zika-Linked Defects Was Delivered Early #NewJersey #bees https://t.co/egkQDgGuKg
,,,,
Masni_tapir,2016-06-02 0:33,Kraljevo,,"Zika mi nije nikada dovoljno glasna, poja\xc4\x8daj do kraja"
,,,,
NewJerseyLovers,2016-06-02 0:33,"New Jersey, USA",,RT @DiarioCoahuila: Nace en #NewJersey beb\xc3\xa9 con microcefalia; la madre se infect\xc3\xb3 de #Zika en #Honduras. https://t.co/4vULUZvPiN https://t.\xe2\x80\xa6
,,,,
tonychinglol,2016-06-02 0:33,\xe5\x8f\xb0\xe5\x8c\x97,,The latest The PRC of World Daily! https://t.co/7SIsC97lKs Thanks to @GlobalFundWomen #whyisponsor #zika
,,,,
MRIGlobalHCF,2016-06-02 0:33,,,CMS says states can fight Zika with Medicaid funds - States will be allowed to use Medicaid funding to fight th... https://t.co/TaaRDP6eB4
,,,,
MichaelMcGough3,2016-06-02 0:33,"Washington, D.C.",,RT @latimesworld: Doctor cries as he delivers 2nd baby born in U.S. with #ZikaVirus-related defects: https://t.co/A7F5gDxv9n @AMSimmons1
,,,,
uisarita_,2016-06-02 0:33,Brasil,,Sai Deus \xc3\xa9 mais vai morre pra la zika
,,,,
guymetropolis,2016-06-02 0:33,,,18 infected with #Zika virus in #Virginia https://t.co/W5n0Aixwt1 via @WTOP
,,,,
